City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Xinyuan,37.3,99.0,39.87,61,11,0.76,CN,2024-05-11 02:00:14
280,Severo-Yeniseyskiy,60.3725,93.0408,47.57,79,99,3.0,RU,2024-05-11 02:00:15
281,Estherville,43.4016,-94.8328,63.91,56,4,7.74,US,2024-05-11 02:00:15
282,Acajutla,13.5928,-89.8275,84.33,71,86,2.66,SV,2024-05-11 02:00:15
283,Chonchi,-42.6128,-73.8092,38.41,95,12,0.81,CL,2024-05-11 02:00:15
284,Alice Springs,-23.7,133.8833,65.75,52,40,16.11,AU,2024-05-11 02:00:15
285,Peniche,39.3558,-9.3811,62.29,88,0,10.16,PT,2024-05-11 02:00:16
286,Bel Ombre,-4.6167,55.4167,82.24,83,40,8.05,SC,2024-05-11 02:00:16
287,Tazacorte,28.629,-17.9293,67.17,81,20,10.36,ES,2024-05-11 02:00:16
288,Calama,-22.4667,-68.9333,61.29,16,0,2.3,CL,2024-05-11 02:00:09
289,Taoudenni,22.6783,-3.9836,92.39,8,100,13.78,ML,2024-05-11 02:00:16
290,Petropavlovsk-Kamchatsky,53.0452,158.6483,41.59,95,75,8.95,RU,2024-05-11 02:00:16
291,Uzgen,40.7699,73.3007,59.29,90,100,1.99,KG,2024-05-11 02:00:16
